t_s,fps
2,0.6
3,100.0
4,107.5
5,109.3
6,111.7
7,112.5
8,109.9
9,112.0
10,109.9
11,110.4
12,111.7
13,112.5
14,107.6
15,109.7
16,109.9
17,105.8
18,111.9
19,108.9
20,107.8
21,112.6
22,109.4
23,110.0
24,108.0
25,109.7
26,101.6
27,113.2
28,110.1
29,109.5
30,107.7
