t_s,util_pct,mem_used_mib
0,6,1328
1,1,1580
3,1,1580
4,13,1570
6,15,1540
7,24,1540
9,24,1540
10,23,1540
12,23,1540
13,34,1540
15,33,1540
16,36,1540
18,50,1540
19,21,1540
21,35,1540
23,19,1540
24,33,1540
26,34,1540
27,15,1540
29,24,1540
