t_s,util_pct,mem_used_mib
0,6,1328
1,4,1508
2,6,1946
4,6,1933
5,20,1897
7,35,1897
8,43,1898
10,34,1897
11,37,1897
13,34,1897
14,39,1897
16,33,1897
17,39,1897
19,31,1897
21,32,1897
22,35,1897
24,33,1897
25,65,1897
27,30,1897
28,32,1897
