t_s,fps
1,0.9
2,83.8
3,111.3
4,114.2
5,109.9
6,113.2
7,107.9
8,107.4
9,106.6
10,110.9
11,109.7
12,108.0
13,113.1
14,110.9
15,111.2
16,110.8
17,109.5
18,108.0
19,113.6
20,104.6
21,110.0
22,110.5
23,104.9
24,107.8
25,111.6
26,106.9
27,110.5
28,111.2
29,111.4
