t_s,util_pct,mem_used_mib
0,5,1357
1,17,1618
3,5,1636
4,15,1635
6,10,1605
8,31,1578
9,30,1578
11,34,1578
12,37,1578
14,34,1578
16,34,1578
17,23,1578
19,24,1578
20,37,1578
22,26,1578
23,27,1578
25,34,1578
27,35,1578
28,24,1578
