t_s,fps
2,12.0
3,104.3
4,86.2
5,108.5
6,111.0
7,110.7
8,105.8
9,98.5
10,101.4
11,101.0
12,100.2
13,96.0
14,101.0
15,98.0
16,99.4
17,99.0
18,99.7
19,100.1
20,105.1
21,102.8
22,105.7
23,103.6
24,100.2
25,100.9
26,102.4
27,102.8
28,102.4
29,100.7
30,100.5
