t_s,util_pct,mem_used_mib
0,4,1384
1,17,1772
3,11,3474
4,15,3489
6,14,3459
8,37,3459
9,37,3459
11,37,3442
12,48,3442
14,39,3442
15,39,3442
17,43,3442
18,36,3419
20,40,3419
21,43,3420
23,44,3420
25,42,3420
26,37,3419
28,43,3420
29,39,3420
