t_s,util_pct,mem_used_mib
0,12,1385
1,6,1484
3,5,1483
4,17,1455
6,26,1426
8,23,1426
9,36,1426
11,23,1426
12,23,1426
14,23,1426
15,24,1426
17,16,1426
18,23,1426
20,34,1426
21,22,1426
23,24,1426
24,34,1426
26,37,1426
27,43,1426
29,32,1426
