t_s,fps
2,13.8
3,96.0
4,117.3
5,117.2
6,116.8
7,108.7
8,108.1
9,110.1
10,109.7
11,113.0
12,111.0
13,105.6
14,111.0
15,111.0
16,111.0
17,111.9
18,110.4
19,111.9
20,112.7
21,112.2
22,110.4
23,112.7
24,104.9
25,113.4
26,112.8
27,108.7
28,113.6
29,111.2
30,111.5
