t_s,util_pct,mem_used_mib
0,6,1385
1,6,1571
3,8,1986
4,9,1944
6,30,1909
7,36,1909
9,63,1909
11,31,1909
12,31,1909
14,34,1909
15,33,1909
17,35,1909
18,40,1909
20,32,1909
21,37,1908
23,59,1909
24,35,1909
26,60,1909
28,31,1909
29,33,1908
