t_s,fps
2,3.0
3,63.8
4,62.3
5,62.2
6,62.2
7,62.2
8,62.3
9,62.3
10,60.2
11,62.4
12,62.3
13,62.2
14,62.3
15,62.3
16,62.3
17,62.3
18,62.3
19,62.3
20,62.3
21,62.3
22,62.2
23,62.2
24,62.3
25,62.2
26,62.3
27,62.3
28,62.1
29,62.5
30,62.2
