t_s,util_pct,mem_used_mib
0,6,1329
2,5,1530
3,6,1983
5,6,1969
6,30,1935
8,32,1935
9,58,1934
11,30,1935
12,36,1935
14,40,1934
15,32,1935
17,30,1935
18,41,1935
20,33,1935
21,36,1935
23,38,1935
24,42,1935
26,29,1935
28,32,1935
29,31,1935
