t_s,fps
2,0.8
3,91.6
4,102.1
5,105.2
6,104.8
7,100.5
8,95.7
9,102.8
10,98.8
11,107.6
12,107.8
13,106.0
14,100.8
15,97.9
16,103.8
17,106.6
18,109.0
19,100.8
20,112.2
21,114.4
22,105.7
23,102.6
24,99.8
25,105.9
26,107.6
27,80.8
28,106.2
29,91.3
30,105.5
