t_s,fps
2,30.6
3,60.0
4,60.0
5,60.0
6,60.0
7,60.0
8,60.0
9,59.9
10,60.1
11,60.0
12,60.0
13,60.0
14,60.0
15,60.0
16,60.0
17,60.0
18,59.9
19,60.1
20,59.9
21,60.1
22,60.0
23,60.0
24,60.0
25,59.9
26,60.1
27,59.9
28,60.2
29,60.0
30,60.0
