t_s,util_pct,mem_used_mib
0,19,1356
1,15,1633
3,16,1621
5,20,1621
6,48,1587
8,25,1587
9,20,1587
11,21,1587
13,22,1587
14,24,1587
16,26,1587
17,57,1587
19,23,1587
21,23,1587
22,55,1587
24,26,1587
25,21,1587
27,49,1587
29,22,1587
