t_s,util_pct,mem_used_mib
0,19,1356
1,18,1620
2,2,1632
4,12,1631
6,22,1596
7,34,1574
9,33,1574
10,27,1574
12,33,1574
14,33,1574
15,23,1574
17,24,1574
18,43,1575
20,16,1575
22,15,1575
23,25,1574
25,23,1574
26,41,1574
28,23,1574
