t_s,fps
2,22.7
3,111.4
4,117.2
5,117.0
6,115.9
7,111.5
8,109.4
9,108.4
10,105.8
11,112.4
12,108.9
13,109.1
14,111.3
15,110.7
16,111.4
17,109.7
18,110.7
19,108.3
20,113.4
21,112.1
22,108.8
23,112.6
24,103.2
25,112.1
26,113.9
27,108.1
28,109.3
29,113.9
30,108.1
