t_s,util_pct,mem_used_mib
0,5,1385
1,8,1627
3,5,1989
5,7,1946
6,32,1911
8,28,1912
9,31,1911
11,33,1911
12,39,1911
14,35,1911
15,37,1911
17,35,1911
18,33,1911
20,40,1911
21,34,1910
23,32,1911
24,35,1911
26,32,1910
28,31,1911
29,35,1910
