t_s,fps
2,0.6
3,21.5
4,30.0
5,29.9
6,30.0
7,30.0
8,30.0
9,30.0
10,30.0
11,30.0
12,29.9
13,30.1
14,30.0
15,30.0
16,29.9
17,30.1
18,30.0
19,30.0
20,30.0
21,30.0
23,30.0
24,30.0
25,30.0
26,30.0
27,30.0
28,30.0
29,30.0
30,30.0
