t_s,util_pct,mem_used_mib
0,4,1356
1,17,1627
3,2,1650
4,17,1649
6,29,1615
8,24,1596
9,24,1596
11,35,1596
12,33,1596
14,48,1596
16,33,1596
17,23,1596
19,23,1596
20,23,1596
22,36,1596
24,33,1596
25,34,1596
27,34,1596
28,48,1596
