t_s,util_pct,mem_used_mib
0,4,1356
1,0,1480
2,2,1479
4,10,1465
5,14,1436
7,34,1436
8,17,1436
10,32,1436
11,29,1436
13,39,1436
14,37,1436
16,35,1436
17,24,1436
19,24,1436
21,34,1436
22,23,1436
24,24,1436
25,19,1436
27,24,1436
28,23,1436
