t_s,util_pct,mem_used_mib
0,6,1385
1,1,1482
3,4,1671
4,15,1631
6,13,1601
8,31,1578
9,23,1578
11,22,1578
12,37,1578
14,48,1578
16,22,1578
17,24,1578
19,24,1578
20,24,1578
22,38,1579
23,19,1579
25,18,1578
27,21,1578
28,25,1577
