t_s,fps
2,0.5
3,24.9
4,62.3
5,62.3
6,62.3
7,62.2
8,62.2
9,62.3
11,61.3
12,62.2
13,62.3
14,62.2
15,61.3
16,62.3
17,62.3
18,62.3
19,62.2
20,62.3
21,62.3
22,62.2
23,62.4
24,62.2
25,62.3
26,62.3
27,62.3
28,62.3
29,62.3
30,60.3
