t_s,util_pct,mem_used_mib
0,6,1384
1,2,1484
3,6,1653
4,6,1693
6,18,1656
7,42,1656
9,30,1656
10,33,1656
12,32,1656
13,60,1657
15,36,1656
16,59,1656
18,38,1656
19,35,1656
21,31,1657
23,35,1657
24,28,1657
26,41,1659
27,37,1658
29,33,1658
