t_s,fps
2,6.9
3,91.2
4,108.3
5,109.1
6,108.9
7,106.7
8,111.3
9,110.8
10,111.3
11,112.7
12,111.2
13,105.2
14,112.1
15,110.9
16,109.6
17,112.7
18,111.1
19,110.0
20,112.9
21,111.4
22,111.8
23,113.1
24,111.4
25,109.6
26,111.5
27,111.4
28,108.6
29,113.5
30,104.3
