t_s,util_pct,mem_used_mib
0,5,1384
1,6,1571
3,6,2006
4,12,1963
6,35,1928
7,32,1928
9,33,1927
10,33,1927
12,36,1928
13,39,1927
15,41,1927
16,38,1928
18,42,1927
20,32,1928
21,32,1928
23,33,1927
24,36,1928
26,34,1928
27,31,1927
29,35,1928
