t_s,util_pct,mem_used_mib
0,14,1384
1,12,1732
2,13,1813
4,36,1772
6,41,1711
7,32,1646
9,38,1641
10,36,1642
12,33,1641
13,33,1641
15,36,1641
16,36,1642
18,40,1641
19,30,1643
21,38,1642
23,29,1642
24,36,1641
26,35,1642
27,35,1642
29,33,1642
